Bauartnummer;Bauartname;Spielname;Datum;Zulassungsinhaber;Fehler;TR-Version;ZL-Daten
620;Ariston Maya;;1994;Ariston Apparatebau GmbH, 42551 Velbert, Deutschland;;TR;
621;Vulkan Plus;;1994;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
623;Panther Super Smaragd;;1994;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
624;Trumpf As;;1994;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
625;Rotamint Quadriga Take 7;;1994;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
626;Crown Happy Joker;;1994;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
627;Vegas;;1994;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
628;Goldmint Samba Moneyline;;1994;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
629;Fruit Runner;;1994;Playmont Flip-Inn Spielautomaten Service- und Handels GmbH, 34117 Kassel, Deutschland;;TR;
630;Rototron Rasant;;1994;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
631;Goldmint Java Moneyline;;1994;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
632;Rotamint Tango;;1994;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
633;Disc Bonus;;1994;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
634;Rototron Royal;;1994;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
635;Rototron Speed Run;;1994;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
636;Crown Double Chance;;1994;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
637;Ariston Maya II;;1994;Ariston Apparatebau GmbH, 42551 Velbert, Deutschland;;TR;
638;Rototron Hero;;1994;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
640;Double;;1994;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
641;Winner Gold;;1994;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
642;Rototron Top Risc;;1994;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
643;Panther Power Take;;1994;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
644;Triomint Tornado;;1994;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
645;Jumbo Jumbo;;1994;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
646;Premiere;;1995;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
647;Crown Victory;;1995;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
648;Rototron Arthus;;1995;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
650;Rototron Fire;;1995;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
653;Rototron Graffiti;;1995;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
654;Rototron Flash;;1995;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
655;Holiday Eurotour;;1995;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
656;Holiday Worldwide;;1995;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
657;Holiday Kreuzfahrt;;1995;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
658;Rototron Giga;;1995;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
660;Unimint Staccato;;1995;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
661;Rototron Krone Jackpot;;1995;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
662;Power Take Plus;;1995;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
663;Rototron Orlando;;1995;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
664;Multi Win;;1995;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
666;Crown Corsar II;;1995;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
667;Jumbo Jumbo Maxi;;1995;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
668;Herzog;;1995;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
669;Fox;;1995;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
670;Mega Sunny;;1995;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
671;Winner 95;;1995;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
673;Big Winner;;1995;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
674;Disc Chance;;1995;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
675;Jumbo Max;;1995;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
676;Triomint Tornado Super;;1995;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
677;Big Power;;1995;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
680;Rototron Big Jack;;1995;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
682;Rototron Doppelkrone 2000;;1995;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
683;Disc Twin;;1995;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
684;Multi Multi;;1995;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
686;Racer;;1995;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
687;Viva;;1995;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
